iter	Passed	Remaining
858	1170	26087
859	1171	26081
860	1173	26076
861	1174	26071
862	1175	26067
863	1176	26062
864	1177	26055
865	1178	26049
866	1180	26043
867	1181	26038
868	1182	26033
869	1183	26027
870	1184	26021
871	1185	26015
872	1187	26009
873	1188	26004
874	1189	25999
875	1190	25993
876	1191	25987
877	1192	25981
878	1194	25975
879	1195	25969
880	1196	25963
881	1197	25958
882	1198	25952
883	1199	25945
884	1200	25940
885	1202	25934
886	1203	25928
887	1204	25923
888	1205	25917
889	1206	25912
890	1207	25906
891	1209	25900
892	1210	25894
893	1211	25888
894	1212	25884
895	1213	25879
896	1214	25873
897	1216	25867
898	1217	25860
899	1218	25855
900	1219	25850
901	1221	25853
902	1222	25848
903	1223	25843
904	1224	25842
905	1226	25838
906	1227	25833
907	1228	25829
908	1229	25826
909	1231	25825
910	1232	25820
911	1233	25814
912	1234	25809
913	1235	25806
914	1237	25803
915	1238	25799
916	1239	25793
917	1240	25788
918	1241	25781
919	1242	25776
920	1244	25770
921	1245	25765
922	1246	25760
923	1247	25755
924	1248	25749
925	1250	25751
926	1251	25758
927	1253	25753
928	1254	25748
929	1255	25743
930	1256	25739
931	1257	25733
932	1258	25727
933	1260	25728
934	1261	25727
935	1262	25722
936	1264	25716
937	1265	25711
938	1266	25706
939	1267	25704
940	1268	25699
941	1269	25693
942	1271	25687
943	1272	25681
944	1273	25675
945	1274	25671
946	1275	25664
947	1276	25658
948	1277	25653
949	1279	25648
950	1280	25641
951	1281	25637
952	1282	25633
953	1283	25628
954	1284	25622
955	1285	25616
956	1287	25610
957	1288	25605
958	1289	25599
959	1290	25594
960	1291	25588
961	1292	25583
962	1293	25578
963	1295	25573
964	1296	25567
965	1297	25562
966	1298	25557
967	1299	25553
968	1300	25551
969	1302	25547
970	1303	25543
971	1304	25538
972	1305	25532
973	1306	25527
974	1307	25521
975	1309	25517
976	1310	25511
977	1311	25506
978	1312	25501
979	1313	25499
980	1315	25498
981	1316	25493
982	1317	25488
983	1318	25484
984	1319	25479
985	1321	25474
986	1322	25468
987	1323	25463
988	1324	25459
989	1325	25454
990	1326	25450
991	1327	25445
992	1329	25440
993	1330	25438
994	1331	25433
995	1332	25429
996	1333	25423
997	1335	25419
998	1336	25413
999	1337	25408
1000	1338	25403
1001	1339	25404
1002	1341	25402
1003	1342	25398
1004	1343	25393
1005	1344	25389
1006	1345	25383
1007	1346	25378
1008	1348	25374
1009	1349	25370
1010	1350	25366
1011	1351	25362
1012	1353	25364
1013	1354	25360
1014	1355	25356
1015	1356	25352
1016	1357	25347
1017	1359	25342
1018	1360	25337
1019	1362	25348
1020	1363	25351
1021	1364	25347
1022	1366	25342
1023	1367	25337
1024	1368	25334
1025	1369	25329
1026	1370	25325
1027	1372	25321
1028	1373	25316
1029	1374	25311
1030	1375	25306
1031	1376	25304
1032	1377	25300
1033	1379	25296
1034	1380	25295
1035	1382	25297
1036	1383	25296
1037	1384	25295
1038	1385	25291
1039	1387	25288
1040	1388	25284
1041	1389	25279
1042	1390	25274
1043	1391	25271
1044	1392	25266
1045	1394	25262
1046	1395	25257
1047	1396	25252
1048	1397	25249
1049	1398	25244
1050	1399	25240
1051	1401	25235
1052	1402	25231
1053	1403	25227
1054	1404	25223
1055	1405	25218
1056	1406	25213
1057	1408	25209
1058	1409	25205
1059	1410	25200
1060	1411	25195
1061	1412	25191
1062	1413	25186
1063	1414	25181
1064	1416	25177
1065	1417	25173
1066	1418	25168
1067	1419	25163
1068	1420	25159
1069	1421	25154
1070	1422	25150
1071	1424	25146
1072	1425	25142
1073	1426	25138
1074	1427	25134
1075	1428	25130
1076	1429	25125
1077	1431	25120
1078	1432	25115
1079	1433	25111
1080	1434	25107
1081	1435	25103
1082	1436	25097
1083	1438	25093
1084	1439	25088
1085	1440	25083
1086	1441	25078
1087	1442	25073
1088	1443	25069
1089	1444	25065
1090	1445	25060
1091	1447	25056
1092	1448	25051
1093	1449	25047
1094	1450	25042
1095	1451	25037
1096	1452	25032
1097	1453	25029
1098	1455	25025
1099	1456	25020
1100	1457	25015
1101	1458	25015
1102	1459	25012
1103	1461	25009
1104	1462	25004
1105	1463	25000
1106	1464	24997
1107	1465	24994
1108	1467	24990
1109	1468	24993
1110	1469	24991
1111	1471	24990
1112	1472	24989
1113	1473	24984
1114	1474	24980
1115	1476	24976
1116	1477	24972
1117	1478	24967
1118	1479	24963
1119	1480	24959
1120	1481	24954
1121	1482	24951
1122	1484	24947
1123	1485	24942
1124	1486	24941
1125	1488	24942
1126	1489	24939
1127	1490	24935
1128	1491	24932
1129	1492	24928
1130	1493	24924
1131	1495	24920
1132	1496	24916
1133	1497	24912
1134	1498	24908
1135	1499	24904
1136	1500	24901
1137	1502	24899
1138	1503	24897
1139	1504	24893
1140	1505	24889
1141	1506	24884
1142	1508	24880
1143	1509	24876
1144	1510	24872
1145	1511	24868
1146	1512	24864
1147	1513	24860
1148	1515	24856
1149	1516	24851
1150	1517	24849
1151	1518	24846
1152	1519	24842
1153	1520	24838
1154	1522	24834
1155	1523	24830
1156	1524	24826
1157	1525	24822
1158	1526	24818
1159	1527	24815
1160	1529	24810
1161	1530	24806
1162	1531	24802
1163	1532	24798
1164	1533	24795
1165	1534	24792
1166	1535	24787
1167	1537	24783
1168	1538	24779
1169	1539	24775
1170	1540	24771
1171	1541	24767
1172	1542	24763
1173	1544	24760
1174	1545	24756
1175	1546	24753
1176	1547	24750
1177	1548	24747
1178	1550	24743
1179	1551	24740
1180	1552	24736
1181	1553	24733
1182	1554	24729
1183	1555	24725
1184	1557	24722
1185	1558	24718
1186	1559	24714
1187	1560	24710
1188	1561	24707
1189	1562	24703
1190	1564	24700
1191	1565	24696
1192	1566	24692
1193	1567	24688
1194	1568	24685
1195	1569	24681
1196	1570	24677
1197	1572	24674
1198	1573	24670
1199	1574	24665
1200	1575	24662
1201	1577	24663
1202	1578	24660
1203	1579	24656
1204	1580	24653
1205	1581	24649
1206	1582	24646
1207	1584	24643
1208	1585	24643
1209	1587	24645
1210	1588	24642
1211	1589	24639
1212	1590	24636
1213	1591	24632
1214	1592	24628
1215	1594	24623
1216	1595	24621
1217	1596	24623
1218	1597	24619
1219	1599	24616
1220	1600	24612
1221	1601	24609
1222	1602	24604
1223	1603	24601
1224	1604	24598
1225	1606	24595
1226	1607	24592
1227	1608	24589
1228	1609	24585
1229	1610	24582
1230	1612	24589
1231	1614	24587
1232	1615	24584
1233	1616	24581
1234	1617	24577
1235	1618	24574
1236	1619	24570
1237	1621	24567
1238	1622	24563
1239	1623	24559
1240	1624	24556
1241	1625	24553
1242	1627	24551
1243	1628	24549
1244	1629	24545
1245	1630	24542
1246	1631	24538
1247	1632	24534
1248	1634	24531
1249	1635	24527
1250	1636	24524
1251	1637	24520
1252	1638	24517
1253	1639	24513
1254	1640	24510
1255	1642	24506
1256	1643	24503
1257	1644	24501
1258	1645	24497
1259	1646	24493
1260	1648	24490
1261	1649	24486
1262	1650	24483
1263	1651	24479
1264	1652	24476
1265	1653	24473
1266	1655	24469
1267	1656	24466
1268	1657	24462
1269	1658	24459
1270	1659	24456
1271	1660	24453
1272	1662	24450
1273	1663	24446
1274	1664	24444
1275	1665	24441
1276	1666	24437
1277	1667	24434
1278	1669	24430
1279	1670	24427
1280	1671	24424
1281	1672	24421
1282	1673	24418
1283	1674	24414
1284	1676	24410
1285	1677	24406
1286	1678	24402
1287	1679	24399
1288	1680	24395
1289	1681	24392
1290	1682	24388
1291	1684	24385
1292	1685	24382
1293	1686	24379
1294	1687	24376
1295	1688	24372
1296	1690	24370
1297	1691	24367
1298	1692	24364
1299	1693	24360
1300	1694	24360
1301	1696	24364
1302	1697	24361
1303	1699	24359
1304	1700	24356
1305	1701	24352
1306	1702	24350
1307	1703	24346
1308	1704	24343
1309	1706	24340
1310	1707	24341
1311	1708	24338
1312	1709	24336
1313	1711	24332
1314	1712	24328
1315	1713	24325
1316	1714	24322
1317	1715	24318
1318	1716	24314
1319	1717	24311
1320	1719	24308
1321	1720	24305
1322	1721	24303
1323	1722	24302
1324	1724	24304
1325	1725	24302
1326	1726	24298
1327	1727	24295
1328	1729	24292
1329	1730	24289
1330	1731	24286
1331	1732	24283
1332	1733	24279
1333	1734	24276
1334	1736	24273
1335	1737	24272
1336	1738	24270
1337	1739	24267
1338	1741	24264
1339	1742	24261
1340	1743	24258
1341	1744	24255
1342	1745	24251
1343	1746	24248
1344	1748	24245
1345	1749	24242
1346	1750	24238
1347	1751	24235
1348	1752	24233
1349	1753	24230
1350	1755	24227
1351	1756	24224
1352	1757	24220
1353	1758	24217
1354	1759	24214
1355	1760	24211
1356	1762	24208
1357	1763	24205
1358	1764	24202
1359	1765	24199
1360	1766	24196
1361	1767	24193
1362	1769	24191
1363	1770	24193
1364	1771	24191
1365	1773	24187
1366	1774	24184
1367	1775	24181
1368	1776	24178
1369	1777	24175
1370	1778	24171
1371	1780	24168
1372	1781	24166
1373	1782	24163
1374	1783	24159
1375	1784	24159
1376	1786	24157
1377	1787	24153
1378	1788	24150
1379	1789	24147
1380	1790	24144
1381	1792	24142
1382	1793	24139
1383	1794	24135
1384	1795	24132
1385	1796	24128
1386	1797	24126
1387	1799	24123
1388	1800	24122
1389	1801	24119
1390	1802	24116
1391	1803	24112
1392	1805	24110
1393	1806	24107
1394	1807	24104
1395	1808	24101
1396	1809	24098
1397	1810	24096
1398	1812	24094
1399	1813	24092
1400	1814	24088
1401	1816	24094
1402	1817	24095
1403	1819	24092
1404	1820	24090
1405	1821	24087
1406	1822	24084
1407	1823	24081
1408	1825	24080
1409	1826	24079
1410	1827	24076
1411	1828	24073
1412	1829	24069
1413	1831	24068
1414	1832	24066
1415	1833	24065
1416	1834	24062
1417	1836	24059
1418	1837	24057
1419	1838	24054
1420	1839	24053
1421	1840	24049
1422	1841	24046
1423	1843	24043
1424	1844	24040
1425	1845	24036
1426	1846	24035
1427	1847	24033
1428	1849	24031
1429	1850	24028
1430	1851	24025
1431	1852	24023
1432	1853	24020
1433	1855	24017
1434	1856	24014
1435	1857	24010
1436	1858	24007
1437	1859	24004
1438	1860	24002
1439	1861	23998
1440	1863	23997
1441	1864	23994
1442	1865	23991
1443	1866	23988
1444	1867	23984
1445	1869	23981
1446	1870	23979
1447	1871	23976
1448	1872	23973
1449	1873	23969
1450	1874	23966
1451	1875	23963
1452	1877	23961
1453	1878	23959
1454	1879	23956
1455	1880	23954
1456	1881	23951
1457	1883	23948
1458	1884	23945
1459	1885	23942
1460	1886	23940
1461	1887	23937
1462	1889	23934
1463	1890	23932
1464	1891	23929
1465	1892	23926
1466	1893	23923
1467	1894	23920
1468	1896	23917
1469	1897	23914
1470	1898	23912
1471	1899	23909
1472	1900	23905
1473	1901	23903
1474	1903	23901
1475	1904	23897
1476	1905	23894
1477	1906	23891
1478	1907	23888
1479	1908	23885
1480	1909	23883
1481	1911	23880
1482	1912	23877
1483	1913	23874
1484	1914	23871
1485	1915	23868
1486	1916	23865
1487	1918	23862
1488	1919	23859
1489	1920	23856
1490	1921	23853
1491	1922	23851
1492	1923	23848
1493	1925	23845
1494	1926	23842
1495	1927	23839
1496	1928	23836
1497	1929	23833
1498	1930	23830
1499	1931	23827
1500	1933	23824
1501	1934	23824
1502	1935	23823
1503	1936	23820
1504	1938	23817
1505	1939	23815
1506	1940	23812
1507	1941	23810
1508	1942	23808
1509	1944	23809
1510	1945	23807
1511	1946	23805
1512	1948	23803
1513	1949	23799
1514	1950	23797
1515	1951	23794
1516	1952	23792
1517	1953	23788
1518	1955	23785
1519	1956	23782
1520	1957	23784
1521	1958	23782
1522	1960	23779
1523	1961	23776
1524	1962	23773
1525	1963	23770
1526	1964	23768
1527	1965	23765
1528	1967	23762
1529	1968	23759
1530	1969	23756
1531	1970	23754
1532	1971	23751
1533	1973	23753
1534	1974	23751
1535	1975	23748
1536	1976	23745
1537	1977	23742
1538	1979	23739
1539	1980	23736
1540	1981	23733
1541	1982	23730
1542	1983	23727
1543	1984	23724
1544	1985	23721
1545	1987	23719
1546	1988	23717
1547	1989	23714
1548	1990	23712
1549	1991	23709
1550	1993	23706
1551	1994	23704
1552	1995	23701
1553	1996	23698
1554	1997	23695
1555	1998	23693
1556	2000	23691
1557	2001	23688
1558	2002	23685
1559	2003	23682
1560	2004	23680
1561	2005	23677
1562	2007	23675
1563	2008	23672
1564	2009	23669
1565	2010	23665
1566	2011	23663
1567	2012	23661
1568	2013	23657
1569	2015	23654
1570	2016	23652
1571	2017	23649
1572	2018	23646
1573	2019	23644
1574	2020	23642
1575	2022	23640
1576	2023	23636
1577	2024	23633
1578	2025	23631
1579	2026	23629
1580	2027	23625
1581	2029	23623
1582	2030	23621
1583	2031	23618
1584	2032	23615
1585	2033	23613
1586	2035	23611
1587	2036	23608
1588	2037	23605
1589	2038	23603
1590	2039	23599
1591	2040	23597
1592	2041	23594
1593	2043	23591
1594	2044	23588
1595	2045	23585
1596	2046	23583
1597	2047	23580
1598	2048	23578
1599	2050	23575
1600	2051	23573
1601	2052	23573
1602	2053	23570
1603	2055	23568
1604	2056	23566
1605	2057	23564
1606	2058	23561
1607	2059	23559
1608	2060	23557
1609	2062	23555
1610	2063	23555
1611	2064	23554
1612	2066	23551
1613	2067	23550
1614	2068	23549
1615	2069	23547
1616	2071	23544
1617	2072	23542
1618	2073	23540
1619	2074	23538
1620	2075	23535
1621	2076	23532
1622	2078	23530
